ID,SUBCLASS
TEST_0000,COAD
TEST_0001,COAD
TEST_0002,BRCA
TEST_0003,GBMLGG
TEST_0004,STES
TEST_0005,LUSC
TEST_0006,BRCA
TEST_0007,LUSC
TEST_0008,BRCA
TEST_0009,PCPG
TEST_0010,KIRC
TEST_0011,LAML
TEST_0012,COAD
TEST_0013,COAD
TEST_0014,KIPAN
TEST_0015,COAD
TEST_0016,COAD
TEST_0017,THYM
TEST_0018,BRCA
TEST_0019,BRCA
TEST_0020,COAD
TEST_0021,COAD
TEST_0022,GBMLGG
TEST_0023,BRCA
TEST_0024,COAD
TEST_0025,COAD
TEST_0026,OV
TEST_0027,LUSC
TEST_0028,COAD
TEST_0029,BRCA
TEST_0030,COAD
TEST_0031,LUSC
TEST_0032,COAD
TEST_0033,KIRC
TEST_0034,COAD
TEST_0035,COAD
TEST_0036,GBMLGG
TEST_0037,BRCA
TEST_0038,COAD
TEST_0039,COAD
TEST_0040,BRCA
TEST_0041,GBMLGG
TEST_0042,SKCM
TEST_0043,LUSC
TEST_0044,BRCA
TEST_0045,BRCA
TEST_0046,KIPAN
TEST_0047,KIRC
TEST_0048,KIPAN
TEST_0049,BRCA
TEST_0050,COAD
TEST_0051,KIPAN
TEST_0052,COAD
TEST_0053,OV
TEST_0054,PCPG
TEST_0055,BRCA
TEST_0056,COAD
TEST_0057,BRCA
TEST_0058,COAD
TEST_0059,SKCM
TEST_0060,KIPAN
TEST_0061,BRCA
TEST_0062,BRCA
TEST_0063,LUSC
TEST_0064,BRCA
TEST_0065,COAD
TEST_0066,COAD
TEST_0067,COAD
TEST_0068,COAD
TEST_0069,COAD
TEST_0070,COAD
TEST_0071,LUSC
TEST_0072,COAD
TEST_0073,KIRC
TEST_0074,BRCA
TEST_0075,BRCA
TEST_0076,COAD
TEST_0077,COAD
TEST_0078,GBMLGG
TEST_0079,GBMLGG
TEST_0080,PCPG
TEST_0081,BRCA
TEST_0082,COAD
TEST_0083,COAD
TEST_0084,COAD
TEST_0085,COAD
TEST_0086,LUSC
TEST_0087,BRCA
TEST_0088,STES
TEST_0089,UCEC
TEST_0090,SKCM
TEST_0091,KIPAN
TEST_0092,COAD
TEST_0093,COAD
TEST_0094,PRAD
TEST_0095,KIPAN
TEST_0096,COAD
TEST_0097,LUSC
TEST_0098,COAD
TEST_0099,COAD
TEST_0100,BRCA
TEST_0101,KIPAN
TEST_0102,BRCA
TEST_0103,LGG
TEST_0104,GBMLGG
TEST_0105,LIHC
TEST_0106,COAD
TEST_0107,COAD
TEST_0108,LUSC
TEST_0109,COAD
TEST_0110,SKCM
TEST_0111,THCA
TEST_0112,BRCA
TEST_0113,BRCA
TEST_0114,COAD
TEST_0115,KIPAN
TEST_0116,KIRC
TEST_0117,GBMLGG
TEST_0118,PCPG
TEST_0119,COAD
TEST_0120,COAD
TEST_0121,GBMLGG
TEST_0122,BRCA
TEST_0123,BRCA
TEST_0124,THCA
TEST_0125,COAD
TEST_0126,GBMLGG
TEST_0127,LGG
TEST_0128,PCPG
TEST_0129,COAD
TEST_0130,BRCA
TEST_0131,LAML
TEST_0132,OV
TEST_0133,COAD
TEST_0134,COAD
TEST_0135,KIPAN
TEST_0136,GBMLGG
TEST_0137,BRCA
TEST_0138,GBMLGG
TEST_0139,BRCA
TEST_0140,COAD
TEST_0141,UCEC
TEST_0142,SKCM
TEST_0143,COAD
TEST_0144,BRCA
TEST_0145,THCA
TEST_0146,COAD
TEST_0147,KIPAN
TEST_0148,TGCT
TEST_0149,BRCA
TEST_0150,BRCA
TEST_0151,THCA
TEST_0152,OV
TEST_0153,GBMLGG
TEST_0154,KIPAN
TEST_0155,KIPAN
TEST_0156,BRCA
TEST_0157,COAD
TEST_0158,STES
TEST_0159,KIPAN
TEST_0160,KIPAN
TEST_0161,COAD
TEST_0162,OV
TEST_0163,OV
TEST_0164,LGG
TEST_0165,BRCA
TEST_0166,COAD
TEST_0167,COAD
TEST_0168,KIPAN
TEST_0169,COAD
TEST_0170,BRCA
TEST_0171,COAD
TEST_0172,THCA
TEST_0173,BRCA
TEST_0174,BRCA
TEST_0175,COAD
TEST_0176,BRCA
TEST_0177,OV
TEST_0178,BRCA
TEST_0179,KIPAN
TEST_0180,THYM
TEST_0181,UCEC
TEST_0182,BRCA
TEST_0183,LAML
TEST_0184,THCA
TEST_0185,BRCA
TEST_0186,ACC
TEST_0187,THYM
TEST_0188,GBMLGG
TEST_0189,COAD
TEST_0190,LUSC
TEST_0191,UCEC
TEST_0192,BRCA
TEST_0193,PAAD
TEST_0194,LUAD
TEST_0195,COAD
TEST_0196,BRCA
TEST_0197,LUSC
TEST_0198,KIPAN
TEST_0199,BRCA
TEST_0200,GBMLGG
TEST_0201,SARC
TEST_0202,KIPAN
TEST_0203,KIPAN
TEST_0204,THCA
TEST_0205,BRCA
TEST_0206,COAD
TEST_0207,SARC
TEST_0208,BRCA
TEST_0209,COAD
TEST_0210,LUSC
TEST_0211,BRCA
TEST_0212,LGG
TEST_0213,BRCA
TEST_0214,THYM
TEST_0215,SKCM
TEST_0216,BRCA
TEST_0217,KIPAN
TEST_0218,GBMLGG
TEST_0219,THYM
TEST_0220,BRCA
TEST_0221,LUSC
TEST_0222,BRCA
TEST_0223,GBMLGG
TEST_0224,LIHC
TEST_0225,UCEC
TEST_0226,BRCA
TEST_0227,COAD
TEST_0228,BRCA
TEST_0229,KIPAN
TEST_0230,COAD
TEST_0231,THCA
TEST_0232,COAD
TEST_0233,HNSC
TEST_0234,COAD
TEST_0235,COAD
TEST_0236,BRCA
TEST_0237,BRCA
TEST_0238,THCA
TEST_0239,LUSC
TEST_0240,COAD
TEST_0241,KIPAN
TEST_0242,COAD
TEST_0243,OV
TEST_0244,KIRC
TEST_0245,STES
TEST_0246,BRCA
TEST_0247,LGG
TEST_0248,LUSC
TEST_0249,THCA
TEST_0250,STES
TEST_0251,OV
TEST_0252,COAD
TEST_0253,BRCA
