ID,SUBCLASS
TEST_0000,STES
TEST_0001,UCEC
TEST_0002,BRCA
TEST_0003,GBMLGG
TEST_0004,LUSC
TEST_0005,LIHC
TEST_0006,BRCA
TEST_0007,SKCM
TEST_0008,BRCA
TEST_0009,PCPG
TEST_0010,KIPAN
TEST_0011,LAML
TEST_0012,COAD
TEST_0013,STES
TEST_0014,BRCA
TEST_0015,LIHC
TEST_0016,BRCA
TEST_0017,THYM
TEST_0018,BRCA
TEST_0019,BRCA
TEST_0020,COAD
TEST_0021,COAD
TEST_0022,GBMLGG
TEST_0023,CESC
TEST_0024,COAD
TEST_0025,STES
TEST_0026,OV
TEST_0027,LIHC
TEST_0028,COAD
TEST_0029,BRCA
TEST_0030,COAD
TEST_0031,SKCM
TEST_0032,BRCA
TEST_0033,KIRC
TEST_0034,KIPAN
TEST_0035,COAD
TEST_0036,GBMLGG
TEST_0037,BRCA
TEST_0038,BRCA
TEST_0039,COAD
TEST_0040,BRCA
TEST_0041,LGG
TEST_0042,SKCM
TEST_0043,SKCM
TEST_0044,BRCA
TEST_0045,UCEC
TEST_0046,KIRC
TEST_0047,LUAD
TEST_0048,KIPAN
TEST_0049,BRCA
TEST_0050,COAD
TEST_0051,KIPAN
TEST_0052,COAD
TEST_0053,OV
TEST_0054,CESC
TEST_0055,BRCA
TEST_0056,COAD
TEST_0057,BRCA
TEST_0058,KIPAN
TEST_0059,THCA
TEST_0060,BRCA
TEST_0061,BRCA
TEST_0062,OV
TEST_0063,TGCT
TEST_0064,BRCA
TEST_0065,COAD
TEST_0066,STES
TEST_0067,KIRC
TEST_0068,LAML
TEST_0069,STES
TEST_0070,COAD
TEST_0071,KIPAN
TEST_0072,OV
TEST_0073,TGCT
TEST_0074,BRCA
TEST_0075,BRCA
TEST_0076,COAD
TEST_0077,STES
TEST_0078,SKCM
TEST_0079,GBMLGG
TEST_0080,PRAD
TEST_0081,STES
TEST_0082,UCEC
TEST_0083,COAD
TEST_0084,COAD
TEST_0085,COAD
TEST_0086,SKCM
TEST_0087,BRCA
TEST_0088,LUAD
TEST_0089,BRCA
TEST_0090,THCA
TEST_0091,KIRC
TEST_0092,BLCA
TEST_0093,STES
TEST_0094,BRCA
TEST_0095,KIPAN
TEST_0096,LUAD
TEST_0097,BLCA
TEST_0098,COAD
TEST_0099,STES
TEST_0100,BRCA
TEST_0101,KIPAN
TEST_0102,OV
TEST_0103,LGG
TEST_0104,GBMLGG
TEST_0105,LIHC
TEST_0106,COAD
TEST_0107,BRCA
TEST_0108,TGCT
TEST_0109,COAD
TEST_0110,BRCA
TEST_0111,THCA
TEST_0112,BRCA
TEST_0113,BRCA
TEST_0114,COAD
TEST_0115,KIPAN
TEST_0116,KIPAN
TEST_0117,LAML
TEST_0118,PCPG
TEST_0119,STES
TEST_0120,KIPAN
TEST_0121,SARC
TEST_0122,BRCA
TEST_0123,THCA
TEST_0124,THCA
TEST_0125,COAD
TEST_0126,GBMLGG
TEST_0127,LGG
TEST_0128,PCPG
TEST_0129,KIPAN
TEST_0130,BRCA
TEST_0131,LAML
TEST_0132,OV
TEST_0133,OV
TEST_0134,STES
TEST_0135,KIPAN
TEST_0136,GBMLGG
TEST_0137,BRCA
TEST_0138,GBMLGG
TEST_0139,BRCA
TEST_0140,COAD
TEST_0141,GBMLGG
TEST_0142,THCA
TEST_0143,COAD
TEST_0144,BRCA
TEST_0145,THCA
TEST_0146,KIPAN
TEST_0147,KIPAN
TEST_0148,TGCT
TEST_0149,PCPG
TEST_0150,COAD
TEST_0151,THCA
TEST_0152,OV
TEST_0153,GBMLGG
TEST_0154,BRCA
TEST_0155,BRCA
TEST_0156,BRCA
TEST_0157,COAD
TEST_0158,STES
TEST_0159,KIPAN
TEST_0160,KIPAN
TEST_0161,COAD
TEST_0162,BRCA
TEST_0163,OV
TEST_0164,GBMLGG
TEST_0165,KIPAN
TEST_0166,COAD
TEST_0167,COAD
TEST_0168,GBMLGG
TEST_0169,STES
TEST_0170,BRCA
TEST_0171,COAD
TEST_0172,LAML
TEST_0173,BRCA
TEST_0174,LUAD
TEST_0175,KIPAN
TEST_0176,KIPAN
TEST_0177,OV
TEST_0178,LAML
TEST_0179,CESC
TEST_0180,THYM
TEST_0181,UCEC
TEST_0182,BRCA
TEST_0183,LAML
TEST_0184,THCA
TEST_0185,PRAD
TEST_0186,HNSC
TEST_0187,THYM
TEST_0188,LGG
TEST_0189,COAD
TEST_0190,SKCM
TEST_0191,UCEC
TEST_0192,BRCA
TEST_0193,HNSC
TEST_0194,LIHC
TEST_0195,STES
TEST_0196,OV
TEST_0197,SKCM
TEST_0198,PCPG
TEST_0199,BRCA
TEST_0200,KIPAN
TEST_0201,BRCA
TEST_0202,KIPAN
TEST_0203,KIPAN
TEST_0204,THCA
TEST_0205,STES
TEST_0206,OV
TEST_0207,PCPG
TEST_0208,UCEC
TEST_0209,COAD
TEST_0210,SKCM
TEST_0211,BRCA
TEST_0212,GBMLGG
TEST_0213,BRCA
TEST_0214,THYM
TEST_0215,SKCM
TEST_0216,BRCA
TEST_0217,KIPAN
TEST_0218,UCEC
TEST_0219,THYM
TEST_0220,BRCA
TEST_0221,CESC
TEST_0222,BRCA
TEST_0223,LGG
TEST_0224,LIHC
TEST_0225,KIPAN
TEST_0226,BRCA
TEST_0227,COAD
TEST_0228,BRCA
TEST_0229,KIPAN
TEST_0230,TGCT
TEST_0231,BRCA
TEST_0232,LUSC
TEST_0233,BRCA
TEST_0234,CESC
TEST_0235,COAD
TEST_0236,BRCA
TEST_0237,COAD
